title,tag,info,comments,content
﻿同名同姓受害者协会,豆瓣图书标签: 小说,[日] 下村敦史 / 虞侃 / 文汇出版社 / 2022-3 / 45,(6251人评价),"【内容简介】
你有没有在网上搜索过自己的名字？
你有没有想过，自己会因为名字，成为全网追杀的猎物？
一起震惊全国的惨案，幼女被连捅二十八刀。凶手的身份保密，..."
鹿川有许多粪,豆瓣图书标签: 小说,李沧东 / 春喜 / 武汉大学出版社 / 2021-8 / 58.00元,(15340人评价),"豆瓣2021年度读书榜单
“年度外国文学（小说类）”
“年度高分图书”
“豆瓣书店最受欢迎图书”
李沧东封笔之作
直面错综复杂的生活本身，探索真正价值的可能..."
秋园,豆瓣图书标签: 小说,杨本芬 / 北京联合出版公司 / 2020-6 / 38.00元,(43078人评价),"听八旬奶奶讲述她和妈妈的故事。
1914年，世上有了“秋园”这个人。1918年，汉语有了“她”这个字。秋园，她来过，挣扎过，绝望过，幸福过。今天，她80岁的..."
生死疲劳,豆瓣图书标签: 小说,莫言 / 浙江文艺出版社 / 2022-1 / 69.90,(9721人评价),"◆ 不看不知道，莫言真幽默！在极度痛苦时笑出声来，获得内心深处的解脱。
◆ 莫言：“诺奖的评委主要是因为读完了《生死疲劳》，才把这个奖项授给了我。”
◆ 不..."
克拉拉与太阳,豆瓣图书标签: 小说,[英] 石黑一雄 / 宋佥 / 上海译文出版社 / 2021-3 / 68.00,(34761人评价),"“太阳总有办法照到我们，不管我们在哪里。”
~
克拉拉是一个专为陪伴儿童而设计的太阳能人工智能机器人（AF），具有极高的观察、推理与共情能力。她坐在商店展示..."
活着,豆瓣图书标签: 小说,余华 / 作家出版社 / 2012-8-1 / 20.00元,(699248人评价),《活着(新版)》讲述了农村人福贵悲惨的人生遭遇。福贵本是个阔少爷，可他嗜赌如命，终于赌光了家业，一贫如洗。他的父亲被他活活气死，母亲则在穷困中患了重病，福贵...
绝叫,豆瓣图书标签: 小说,[日] 叶真中显 / 林佩瑾 / 北京联合出版公司 / 2020-7 / 58.00元,(49308人评价),"罗翔老师推荐！“这本书深刻地揭示了日本的社会问题，日本40多年来社会变迁的各种缩影。”
豆瓣「2020年度读书榜单」推理·悬疑类top1！
怀才者的自怜是天..."
献给阿尔吉侬的花束,豆瓣图书标签: 小说,[美] 丹尼尔·凯斯 / 陈澄和 / 广西师范大学出版社 / 2015-4 / 36.00元,(64207人评价),"很多人都笑我。但他们是我的朋友我们都很快乐。
—	以《献给阿尔吉侬的花束》原著改编，野岛伸司编剧、山下智久主演的TBS日剧于2015年春季开播
—	《24个..."
遥远的救世主,豆瓣图书标签: 小说,豆豆 / 作家出版社 / 2005-05-01 / 28.00,(31020人评价),"这是一部可以傲然独尊的长篇小说。也是一部可遇不可求的完美佳作。
豆豆，以她的才华，探索一个有机的、无定形的、陌生的、暧昧的和未曾臻达的世界。男女主人公那浓墨..."
夜晚的潜水艇,豆瓣图书标签: 小说,陈春成 / 上海三联书店 / 2020-9 / 52,(43760人评价),"★ 《亚洲周刊》2020年度十大小说
★ 豆瓣读书2020年度中国文学（小说类）Top1
★ 2021年宝珀理想国文学奖首奖作品
★ 2020年单向街书店文..."
