"bookid","orderid","unitprice","quantity","modifydate","score"
"743203631","10000037","104","1","2017/4/2","10"
"316514373","10000135","114","1","2017/4/2","8"
"345322932","10000135","144","1","2017/4/2","1"
"670030430","10000136","127","1","2017/4/2","2"
"14023313","10000140","140","1","2017/4/2","4"
"553296981","10000140","76","1","2017/4/2","5"
"807085588","10000140","161","1","2017/4/2","9"
"451180801","10000179","140","1","2017/4/2","1"
"64400026","10000179","179","1","2017/4/2","4"
"1556705069","10000256","173","1","2017/4/2","5"
"373292732","10000273","145","1","2017/4/2","5"
"449003787","10000434","184","1","2017/4/2","5"
"2742729038","10000510","63","1","2017/4/2","9"
"525935312","10000521","136","1","2017/4/2","4"
"890432694","10000585","52","1","2017/4/2","3"
"380726289","10000585","119","1","2017/4/2","4"
"440238137","10000688","98","1","2017/4/2","1"
"345300203","10000692","101","1","2017/4/2","5"
"87584877","10000724","88","1","2017/4/2","9"
"747266115","10000818","53","1","2017/4/2","7"
"9722100718","10000818","108","1","2017/4/2","1"
"151655898","10000833","56","1","2017/4/2","2"
"345292928","10000833","168","1","2017/4/2","6"
"373710127","10000833","69","1","2017/4/2","5"
"38533558","10000858","53","1","2017/4/2","9"
"523485204","10000916","122","1","2017/4/2","9"
"373440901","10000916","100","1","2017/4/2","5"
"440224403","10000916","117","1","2017/4/2","6"
"451156609","10000922","113","1","2017/4/2","8"
"345431057","10000935","180","1","2017/4/2","8"
"441008615","10000935","113","1","2017/4/2","8"
"451192990","10000935","123","1","2017/4/2","6"
"590112899","10001136","107","1","2017/4/2","9"
"486231135","10001136","197","1","2017/4/2","4"
"886774500","10001276","74","1","2017/4/2","9"
"553561537","10001276","198","1","2017/4/2","1"
"60924675","10001276","130","1","2017/4/2","1"
"670865796","10001280","86","1","2017/4/2","1"
"760710848","10001327","67","1","2017/4/2","4"
"671733893","10001327","124","1","2017/4/2","10"
"449205975","10001327","184","1","2017/4/2","4"
"523414668","10001351","157","1","2017/4/2","6"
"34531221","10001427","146","1","2017/4/2","9"
"345339681","10001427","119","1","2017/4/2","10"
"61013420","10001522","174","1","2017/4/2","7"
"373263880","10001522","50","1","2017/4/2","3"
"373707649","10001643","67","1","2017/4/2","5"
"345428153","10001643","168","1","2017/4/2","3"
"446605239","10001643","166","1","2017/4/2","2"
"452283914","10001747","121","1","2017/4/2","10"
"375701230","10001751","146","1","2017/4/2","8"
"316153915","10001751","122","1","2017/4/2","9"
"2207305503","10001759","174","1","2017/4/2","6"
"802134807","10001759","60","1","2017/4/2","6"
"345335082","10001831","120","1","2017/4/2","8"
"425071804","10001933","186","1","2017/4/2","8"
"345378873","10001958","169","1","2017/4/2","9"
"875421849","10001958","140","1","2017/4/2","5"
"553151827","10000061","180","1","2017/4/3","9"
"618526412","10000307","88","1","2017/4/3","9"
"836231171","10000307","145","1","2017/4/3","2"
"373264305","10000334","149","1","2017/4/3","9"
"425162788","10000334","107","1","2017/4/3","5"
"670867330","10000334","121","1","2017/4/3","4"
"385504209","10000398","177","1","2017/4/3","9"
"452267110","10000398","165","1","2017/4/3","8"
"385316879","10000398","60","1","2017/4/3","3"
"312970986","10000533","115","1","2017/4/3","8"
"140100180","10000550","146","1","2017/4/3","5"
"452270189","10000550","119","1","2017/4/3","8"
"767905202","10000555","181","1","2017/4/3","3"
"140067477","10000555","140","1","2017/4/3","4"
"679762655","10000564","140","1","2017/4/3","7"
"3257018126","10000564","53","1","2017/4/3","3"
"671698648","10000564","117","1","2017/4/3","8"
"201632934","10000577","187","1","2017/4/3","7"
"385143567","10000598","60","1","2017/4/3","10"
"920953255","10000598","131","1","2017/4/3","5"
"821769227","10000600","147","1","2017/4/3","2"
"312995423","10000600","140","1","2017/4/3","7"
"899193099","10000616","63","1","2017/4/3","7"
"671606875","10000616","102","1","2017/4/3","7"
"812090187","10000636","115","1","2017/4/3","8"
"451408888","10000671","156","1","2017/4/3","4"
"373261918","10000671","104","1","2017/4/3","7"
"671662341","10000671","67","1","2017/4/3","1"
"805054944","10000850","104","1","2017/4/3","7"
"786890371","10000850","104","1","2017/4/3","10"
"440205492","10000866","139","1","2017/4/3","10"
"671820443","10000866","60","1","2017/4/3","6"
"385306210","10000866","142","1","2017/4/3","4"
"380973545","10000917","67","1","2017/4/3","8"
"711703078","10000917","187","1","2017/4/3","7"
"440122090","10000959","51","1","2017/4/3","9"
"553578693","10000990","112","1","2017/4/3","7"
"131919660","10001552","77","1","2017/4/3","2"
"441714013","10001552","126","1","2017/4/3","1"
"440428130","10001625","115","1","2017/4/3","2"
"449005836","10001686","74","1","2017/4/3","6"
"671798782","10001704","126","1","2017/4/3","8"
"156628635","10001704","59","1","2017/4/3","6"
"446353426","10001715","80","1","2017/4/3","2"
"786868716","10001882","150","1","2017/4/3","4"
"688160948","10001927","173","1","2017/4/3","1"
"373970323","10000065","191","1","2017/4/4","2"
"60176806","10000065","187","1","2017/4/4","3"
"3635606316","10000065","111","1","2017/4/4","8"
"373073712","10000166","104","1","2017/4/4","7"
"452260116","10000166","52","1","2017/4/4","8"
"449912639","10000166","117","1","2017/4/4","7"
