"orderid","userid","status","orderdate","subtotal","modifydate"
"10000001","64808","2","2017/6/8","144","2017/6/8"
"10000002","162756","0","2017/4/24","117","2017/4/24"
"10000003","132298","1","2017/6/27","113","2017/6/27"
"10000004","88658","1","2017/5/10","252","2017/5/10"
"10000005","248564","1","2017/4/30","140","2017/4/30"
"10000006","122545","0","2017/5/6","253","2017/5/6"
"10000007","221491","2","2017/5/1","359","2017/5/1"
"10000008","254392","2","2017/5/17","112","2017/5/17"
"10000009","36006","2","2017/6/23","335","2017/6/23"
"10000010","144480","1","2017/4/21","100","2017/4/21"
"10000011","234907","2","2017/6/23","83","2017/6/23"
"10000012","178672","0","2017/4/15","385","2017/4/15"
"10000013","27718","2","2017/5/15","233","2017/5/15"
"10000014","7777","2","2017/6/19","371","2017/6/19"
"10000015","96574","1","2017/6/16","113","2017/6/16"
"10000016","26286","1","2017/5/15","273","2017/5/15"
"10000017","165304","2","2017/6/29","119","2017/6/29"
"10000018","120402","2","2017/4/17","108","2017/4/17"
"10000019","62332","0","2017/6/9","121","2017/6/9"
"10000020","179619","1","2017/5/22","116","2017/5/22"
"10000021","195584","0","2017/4/16","434","2017/4/16"
"10000022","184736","2","2017/5/26","138","2017/5/26"
"10000023","109005","2","2017/4/9","82","2017/4/9"
"10000024","159439","2","2017/6/18","213","2017/6/18"
"10000025","74936","0","2017/5/28","215","2017/5/28"
"10000026","227162","2","2017/4/13","334","2017/4/13"
"10000027","253300","0","2017/6/18","80","2017/6/18"
"10000028","234967","1","2017/5/3","113","2017/5/3"
"10000029","222210","0","2017/4/9","111","2017/4/9"
"10000030","68921","1","2017/5/12","218","2017/5/12"
"10000031","246042","2","2017/6/21","159","2017/6/21"
"10000032","234127","2","2017/6/4","151","2017/6/4"
"10000033","217320","0","2017/6/4","272","2017/6/4"
"10000034","2330","2","2017/5/20","187","2017/5/20"
"10000035","70007","2","2017/6/24","343","2017/6/24"
"10000036","271103","2","2017/6/21","184","2017/6/21"
"10000037","221723","1","2017/4/2","104","2017/4/2"
"10000038","131642","0","2017/5/18","277","2017/5/18"
"10000039","83167","2","2017/4/9","60","2017/4/9"
"10000040","48030","0","2017/5/30","438","2017/5/30"
"10000041","202349","0","2017/6/4","189","2017/6/4"
"10000042","39089","2","2017/5/19","60","2017/5/19"
"10000043","118953","0","2017/5/28","150","2017/5/28"
"10000044","159669","0","2017/6/13","277","2017/6/13"
"10000045","66650","2","2017/6/19","107","2017/6/19"
"10000046","168741","0","2017/5/19","85","2017/5/19"
"10000047","158288","0","2017/5/2","279","2017/5/2"
"10000048","196749","1","2017/5/18","112","2017/5/18"
"10000049","179470","0","2017/6/25","138","2017/6/25"
"10000050","36584","2","2017/6/27","88","2017/6/27"
"10000051","84226","2","2017/6/14","127","2017/6/14"
"10000052","194439","2","2017/5/2","216","2017/5/2"
"10000053","255593","2","2017/4/24","168","2017/4/24"
"10000054","43919","2","2017/4/24","294","2017/4/24"
"10000055","127217","2","2017/6/15","437","2017/6/15"
"10000056","118849","1","2017/6/19","280","2017/6/19"
"10000057","133684","1","2017/4/20","189","2017/4/20"
"10000058","177392","2","2017/5/18","200","2017/5/18"
"10000059","237199","2","2017/6/23","119","2017/6/23"
"10000060","117907","2","2017/5/31","300","2017/5/31"
"10000061","37520","0","2017/4/3","180","2017/4/3"
"10000062","120698","0","2017/5/29","238","2017/5/29"
"10000063","68610","1","2017/6/7","255","2017/6/7"
"10000064","85407","2","2017/5/17","80","2017/5/17"
"10000065","10112","2","2017/4/4","489","2017/4/4"
"10000066","50270","1","2017/5/20","427","2017/5/20"
"10000067","241842","0","2017/4/26","209","2017/4/26"
"10000068","143600","2","2017/4/9","226","2017/4/9"
"10000069","31885","2","2017/5/23","375","2017/5/23"
"10000070","171549","1","2017/6/23","206","2017/6/23"
"10000071","34910","0","2017/6/19","82","2017/6/19"
"10000072","257546","1","2017/4/13","134","2017/4/13"
"10000073","51047","0","2017/5/6","239","2017/5/6"
"10000074","188545","2","2017/4/13","50","2017/4/13"
"10000075","225288","2","2017/4/13","174","2017/4/13"
"10000076","141199","2","2017/6/2","215","2017/6/2"
"10000077","203500","2","2017/6/27","420","2017/6/27"
"10000078","113862","2","2017/6/20","89","2017/6/20"
"10000079","267224","2","2017/6/7","276","2017/6/7"
"10000080","244076","2","2017/4/13","122","2017/4/13"
"10000081","183268","1","2017/4/16","140","2017/4/16"
"10000082","145232","2","2017/4/21","104","2017/4/21"
"10000083","125580","2","2017/6/24","125","2017/6/24"
"10000084","86827","0","2017/5/10","162","2017/5/10"
"10000085","45500","1","2017/5/19","210","2017/5/19"
"10000086","132520","2","2017/6/20","94","2017/6/20"
"10000087","26676","0","2017/5/14","127","2017/5/14"
"10000088","215621","0","2017/5/11","191","2017/5/11"
"10000089","47549","1","2017/4/21","113","2017/4/21"
"10000090","264570","1","2017/4/17","85","2017/4/17"
"10000091","52173","0","2017/5/20","190","2017/5/20"
"10000092","252929","2","2017/6/5","134","2017/6/5"
"10000093","164837","2","2017/5/1","187","2017/5/1"
"10000094","50838","2","2017/4/21","188","2017/4/21"
"10000095","69584","2","2017/5/3","135","2017/5/3"
"10000096","44916","0","2017/5/26","416","2017/5/26"
"10000097","114987","0","2017/5/28","263","2017/5/28"
"10000098","14152","0","2017/5/15","156","2017/5/15"
"10000099","192730","2","2017/5/6","138","2017/5/6"
"10000100","218594","2","2017/6/30","101","2017/6/30"
"10000101","78991","2","2017/4/28","185","2017/4/28"
"10000102","51661","2","2017/5/14","102","2017/5/14"
"10000103","185369","2","2017/4/28","365","2017/4/28"
"10000104","244971","1","2017/6/2","246","2017/6/2"
"10000105","43139","1","2017/4/20","131","2017/4/20"
"10000106","27363","2","2017/6/9","100","2017/6/9"
"10000107","245904","2","2017/6/23","229","2017/6/23"
"10000108","15848","1","2017/6/28","114","2017/6/28"
"10000109","66152","0","2017/6/30","146","2017/6/30"
"10000110","89874","2","2017/5/3","59","2017/5/3"
"10000111","253351","2","2017/6/12","135","2017/6/12"
"10000112","230578","2","2017/6/20","204","2017/6/20"
"10000113","220054","0","2017/4/8","50","2017/4/8"
"10000114","223321","1","2017/6/4","125","2017/6/4"
"10000115","231082","2","2017/4/19","197","2017/4/19"
"10000116","123685","0","2017/5/24","224","2017/5/24"
"10000117","124236","0","2017/4/16","187","2017/4/16"
"10000118","138548","1","2017/6/4","208","2017/6/4"
"10000119","258536","0","2017/5/29","88","2017/5/29"
"10000120","170412","2","2017/4/10","116","2017/4/10"
"10000121","195290","2","2017/4/8","252","2017/4/8"
"10000122","113477","2","2017/5/12","113","2017/5/12"
"10000123","126789","0","2017/6/15","118","2017/6/15"
"10000124","67527","2","2017/4/9","378","2017/4/9"
"10000125","248378","2","2017/6/2","125","2017/6/2"
"10000126","266932","2","2017/6/19","269","2017/6/19"
"10000127","29365","0","2017/4/13","310","2017/4/13"
"10000128","135680","2","2017/4/16","91","2017/4/16"
"10000129","10556","2","2017/5/16","214","2017/5/16"
"10000130","194476","2","2017/4/19","113","2017/4/19"
"10000131","156471","0","2017/5/11","135","2017/5/11"
"10000132","81776","2","2017/6/26","214","2017/6/26"
"10000133","278356","1","2017/6/28","430","2017/6/28"
"10000134","154498","0","2017/5/26","153","2017/5/26"
"10000135","163286","0","2017/4/2","258","2017/4/2"
"10000136","29511","0","2017/4/2","127","2017/4/2"
